amazon,google
b000jz4hqo,http://www.google.com/base/feeds/snippets/18441480711193821750
b0006zf55o,http://www.google.com/base/feeds/snippets/18441504609012350988
b00004tkvy,http://www.google.com/base/feeds/snippets/18441110047404795849
b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272
b0006se5bq,http://www.google.com/base/feeds/snippets/18383108968754488314
b0006se5bq,http://www.google.com/base/feeds/snippets/18363181454550367129
b000ehpzv8,http://www.google.com/base/feeds/snippets/18440602911777368492
b00021xhzw,http://www.google.com/base/feeds/snippets/4682448981783641744
b000gzwjgc,http://www.google.com/base/feeds/snippets/18436702590661313778
b0000dbykm,http://www.google.com/base/feeds/snippets/18363672170449359273
b00029bqa2,http://www.google.com/base/feeds/snippets/18431790997623472871
b0007prnjo,http://www.google.com/base/feeds/snippets/18434733520229761009
b000aazr5i,http://www.google.com/base/feeds/snippets/12849123232978824729
b000bhl1r8,http://www.google.com/base/feeds/snippets/18434640068073839470
b000i82j80,http://www.google.com/base/feeds/snippets/18371416588940021581
b00006hmwc,http://www.google.com/base/feeds/snippets/18434525344397886462
b000in6u62,http://www.google.com/base/feeds/snippets/12218017436042377109
b000in6u62,http://www.google.com/base/feeds/snippets/11343247749866294908
b000083k56,http://www.google.com/base/feeds/snippets/13598501353144283116
b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433
b0000ycfcw,http://www.google.com/base/feeds/snippets/321181551780335576
b00066dd5m,http://www.google.com/base/feeds/snippets/14475459923483732533
b00066dd5m,http://www.google.com/base/feeds/snippets/1396332825410491679
b00066dd5m,http://www.google.com/base/feeds/snippets/4555576140890007510
b00002sac9,http://www.google.com/base/feeds/snippets/9859735236279839568
b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819
b000fm18vi,http://www.google.com/base/feeds/snippets/3620383930983735395
b00009apna,http://www.google.com/base/feeds/snippets/975032998818002648
b0009rgzgm,http://www.google.com/base/feeds/snippets/1883379429602083103
b000ap2wyw,http://www.google.com/base/feeds/snippets/17022948292176830818
b000o24l3q,http://www.google.com/base/feeds/snippets/18397369021542974872
b000o24l3q,http://www.google.com/base/feeds/snippets/18376686223363464962
b000o24l3q,http://www.google.com/base/feeds/snippets/385281297660428617
b0009jlux8,http://www.google.com/base/feeds/snippets/17708766593513600591
b000cszg2m,http://www.google.com/base/feeds/snippets/5032391174084349054
b00023azve,http://www.google.com/base/feeds/snippets/17451370028015177558
b00023azve,http://www.google.com/base/feeds/snippets/13999576641352614864
b000ndicuy,http://www.google.com/base/feeds/snippets/17157077891501808030
b000ndicuy,http://www.google.com/base/feeds/snippets/18422266773656246362
b000ndicuy,http://www.google.com/base/feeds/snippets/16738858585154074633
b0000ycfdq,http://www.google.com/base/feeds/snippets/18411875162562199123
b0007yepy6,http://www.google.com/base/feeds/snippets/2209370345378693785
b000cpmtwk,http://www.google.com/base/feeds/snippets/1417708435719198149
b0002qnd2y,http://www.google.com/base/feeds/snippets/975032998818002648
b000h22pg8,http://www.google.com/base/feeds/snippets/16146349805118916421
b0009h9q1i,http://www.google.com/base/feeds/snippets/5665024204886410
b000cqyclu,http://www.google.com/base/feeds/snippets/1695089910833084773
b0001db6i6,http://www.google.com/base/feeds/snippets/4921806606938865897
b0001db6i6,http://www.google.com/base/feeds/snippets/9520388519116210850
b000bl40dg,http://www.google.com/base/feeds/snippets/10381298233088883938
b000h22rbg,http://www.google.com/base/feeds/snippets/16834287498399733790
b000h22rbg,http://www.google.com/base/feeds/snippets/18422266773656246362
b000h22rbg,http://www.google.com/base/feeds/snippets/13437867961558366887
b000bezsyi,http://www.google.com/base/feeds/snippets/17149948893700452737
b0007g9760,http://www.google.com/base/feeds/snippets/11567429261409321598
b0001bg5gq,http://www.google.com/base/feeds/snippets/13642535173107321529
b000ivhozk,http://www.google.com/base/feeds/snippets/12543046747030237240
b000buqo9a,http://www.google.com/base/feeds/snippets/10993073455692001778
b00032heya,http://www.google.com/base/feeds/snippets/6195321262763979528
b000butd6q,http://www.google.com/base/feeds/snippets/10720887667449998069
b00032hexq,http://www.google.com/base/feeds/snippets/13635233890006695775
b000b6vlh4,http://www.google.com/base/feeds/snippets/10993073455692001778
b0009i9tqy,http://www.google.com/base/feeds/snippets/8804538687114603592
b00024yohy,http://www.google.com/base/feeds/snippets/9205821354688722990
b00020633g,http://www.google.com/base/feeds/snippets/18383108968754488314
b000cbqbby,http://www.google.com/base/feeds/snippets/13143355002649939201
b0002x1omi,http://www.google.com/base/feeds/snippets/7039940734695244235
b0009stm6g,http://www.google.com/base/feeds/snippets/9463842250533836611
b0009stm6g,http://www.google.com/base/feeds/snippets/9505595690175506725
b000ap0h94,http://www.google.com/base/feeds/snippets/18089023914130738551
b0000ycfe0,http://www.google.com/base/feeds/snippets/8175198959985911471
b00006j02n,http://www.google.com/base/feeds/snippets/18268949289189904876
